record_type,source_run,timestamp (UTC),timestamp (America/New_York),open,high,low,close,volume,pct_change_from_event,log_return,published_at,source_domain,title,description,url,keyword
price,NVDA_2025-10-1,2025-10-03 16:00:00+00:00,2025-10-03 12:00:00,188.9801,189.0,187.595,187.98,14323151.0,0.0041130281502055,-0.005411440867487,,,,,,
price,NVDA_2025-10-1,2025-10-03 17:00:00+00:00,2025-10-03 13:00:00,187.98,187.98,185.38,186.4,19938639.0,-0.0043266919502163,-0.0084406719406651,,,,,,
price,NVDA_2025-10-1,2025-10-03 18:00:00+00:00,2025-10-03 14:00:00,186.4,187.745,185.675,187.66,15939426.0,0.0024037177501201,0.006736912610413,,,,,,
price,NVDA_2025-10-1,2025-10-03 19:00:00+00:00,2025-10-03 15:00:00,187.655,188.07,186.23,187.621,16894457.0,0.0021953955451097,-0.0002078442561197,,,,,,
price,NVDA_2025-10-1,2025-10-03 20:00:00+00:00,2025-10-03 16:00:00,187.62,187.62,187.36,187.4734,2162336.0,0.0014069761230703,-0.0007870019260121,,,,,,
price,NVDA_2025-10-1,2025-10-06 14:00:00+00:00,2025-10-06 10:00:00,186.295,186.54,184.205,184.787,28712803.0,-0.0129426846856471,-0.0144331582669527,,,,,,
price,NVDA_2025-10-1,2025-10-06 15:00:00+00:00,2025-10-06 11:00:00,184.791,187.1,184.64,186.835,18781693.0,-0.0020030981251001,0.0110220639980989,,,,,,
price,NVDA_2025-10-1,2025-10-06 16:00:00+00:00,2025-10-06 12:00:00,186.83,187.23,186.2201,186.3402,12376352.0,-0.0046461193312322,-0.0026518390823566,,,,,,
price,NVDA_2025-10-1,2025-10-06 17:00:00+00:00,2025-10-06 13:00:00,186.34,186.47,185.46,185.775,10434199.0,-0.0076651888253832,-0.0030377712850278,,,,,,
price,NVDA_2025-10-1,2025-10-06 18:00:00+00:00,2025-10-06 14:00:00,185.78,186.1,185.39,185.86,10210566.0,-0.0072111532503604,0.0004574380856601,,,,,,
price,NVDA_2025-10-1,2025-10-06 19:00:00+00:00,2025-10-06 15:00:00,185.86,186.05,185.43,185.53,16334501.0,-0.0089738796004487,-0.0017771080904074,,,,,,
price,NVDA_2025-10-1,2025-10-06 20:00:00+00:00,2025-10-06 16:00:00,185.5202,185.88,185.41,185.88,2379792.0,-0.0071043213503553,0.0018847101779915,,,,,,
price,NVDA_2025-10-1,2025-10-07 14:00:00+00:00,2025-10-07 10:00:00,188.8218,189.06,187.565,187.83,21819219.0,0.0033117889001657,0.0104359942085512,,,,,,
price,NVDA_2025-10-1,2025-10-07 15:00:00+00:00,2025-10-07 11:00:00,187.83,187.87,184.405,185.465,36060020.0,-0.0093210832754661,-0.0126711134252897,,,,,,
price,NVDA_2025-10-1,2025-10-07 16:00:00+00:00,2025-10-07 12:00:00,185.47,186.415,185.0783,185.75,15622502.0,-0.00779872870039,0.0015354985978293,,,,,,
price,NVDA_2025-10-1,2025-10-07 17:00:00+00:00,2025-10-07 13:00:00,185.75,186.19,185.32,185.36,9077845.0,-0.009881950750494,-0.0021018034737476,,,,,,
price,NVDA_2025-10-1,2025-10-07 18:00:00+00:00,2025-10-07 14:00:00,185.36,186.04,185.15,185.63,7894968.0,-0.008439720100422,0.0014555650970109,,,,,,
price,NVDA_2025-10-1,2025-10-07 19:00:00+00:00,2025-10-07 15:00:00,185.62,185.8,184.0,184.95,13961242.0,-0.0120720047006036,-0.0036699269426687,,,,,,
price,NVDA_2025-10-1,2025-10-07 20:00:00+00:00,2025-10-07 16:00:00,185.04,185.29,184.68,185.1894,1289278.0,-0.0107932268575396,0.0012935668744402,,,,,,
price,NVDA_2025-10-8,2025-10-08 14:00:00+00:00,2025-10-08 10:00:00,188.655,189.42,188.23,188.635,22850087.0,0.0,,,,,,,
price,NVDA_2025-10-8,2025-10-08 15:00:00+00:00,2025-10-08 11:00:00,188.64,188.8799,187.6138,187.91,14150701.0,-0.0038434012775995,-0.0038508061235758,,,,,,
price,NVDA_2025-10-8,2025-10-08 16:00:00+00:00,2025-10-08 12:00:00,187.9101,188.4898,187.69,188.2514,10320610.0,-0.0020335568690857,0.0018151787702791,,,,,,
price,NVDA_2025-10-8,2025-10-08 17:00:00+00:00,2025-10-08 13:00:00,188.255,188.89,187.765,188.5907,10890421.0,-0.0002348450711691,0.0018007547017058,,,,,,
price,NVDA_2025-10-8,2025-10-08 18:00:00+00:00,2025-10-08 14:00:00,188.59,188.81,187.985,188.32,9336376.0,-0.0016698915895777,-0.0014364147610796,,,,,,
price,NVDA_2025-10-8,2025-10-08 19:00:00+00:00,2025-10-08 15:00:00,188.32,189.6,188.25,189.06,17488056.0,0.0022530283351447,0.0039217814852721,,,,,,
price,NVDA_2025-10-8,2025-10-08 20:00:00+00:00,2025-10-08 16:00:00,189.11,189.24,188.8,188.88,1575321.0,0.0012988045696715,-0.0009525322199808,,,,,,
price,NVDA_2025-10-8,2025-10-09 14:00:00+00:00,2025-10-09 10:00:00,194.38,194.59,192.185,194.075,33052716.0,0.0288387626898507,0.0271327895144866,,,,,,
price,NVDA_2025-10-8,2025-10-09 15:00:00+00:00,2025-10-09 11:00:00,194.08,194.72,193.365,194.18,21211740.0,0.0293953932197101,0.000540881650255,,,,,,
price,NVDA_2025-10-8,2025-10-09 16:00:00+00:00,2025-10-09 12:00:00,194.17,194.58,192.7,192.75,15207185.0,0.0218146155273413,-0.0073915514985598,,,,,,
price,NVDA_2025-10-8,2025-10-09 17:00:00+00:00,2025-10-09 13:00:00,192.73,193.28,192.27,193.005,13210727.0,0.0231664325284279,0.0013220828616242,,,,,,
price,NVDA_2025-10-8,2025-10-09 18:00:00+00:00,2025-10-09 14:00:00,193.005,193.17,192.13,192.56,13629689.0,0.020807379330453,-0.0023083018302472,,,,,,
price,NVDA_2025-10-8,2025-10-09 19:00:00+00:00,2025-10-09 15:00:00,192.56,193.54,191.61,192.54,20522545.0,0.0207013544676226,-0.0001038691249961,,,,,,
price,NVDA_2025-10-8,2025-10-09 20:00:00+00:00,2025-10-09 16:00:00,192.57,193.27,192.04,192.26,1524953.0,0.0192170063879979,-0.0014553017121503,,,,,,
price,NVDA_2025-10-8,2025-10-10 14:00:00+00:00,2025-10-10 10:00:00,194.0801,195.62,193.53,194.1512,34838466.0,0.0292427174172342,0.009788614308956,,,,,,
price,NVDA_2025-10-8,2025-10-10 15:00:00+00:00,2025-10-10 11:00:00,194.15,194.1984,186.38,189.52,65369600.0,0.0046916001802423,-0.0241426770960959,,,,,,
price,NVDA_2025-10-8,2025-10-10 16:00:00+00:00,2025-10-10 12:00:00,189.5,189.86,187.38,187.52,24273714.0,-0.005910886102791,-0.0106090534618816,,,,,,
price,NVDA_2025-10-8,2025-10-10 17:00:00+00:00,2025-10-10 13:00:00,187.505,188.46,186.64,187.69,18875877.0,-0.0050096747687332,0.00090615927951,,,,,,
price,NVDA_2025-10-8,2025-10-10 18:00:00+00:00,2025-10-10 14:00:00,187.71,188.2874,186.53,186.99,14622121.0,-0.0087205449677948,-0.0037365261792894,,,,,,
price,NVDA_2025-10-8,2025-10-10 19:00:00+00:00,2025-10-10 15:00:00,186.99,187.55,182.05,183.12,46510803.0,-0.0292363559254644,-0.0209134638445576,,,,,,
price,NVDA_2025-10-8,2025-10-10 20:00:00+00:00,2025-10-10 16:00:00,183.13,184.0,180.91,181.2,4636962.0,-0.0394147427571766,-0.0105402820354321,,,,,,
price,NVDA_2025-10-8,2025-10-13 14:00:00+00:00,2025-10-13 10:00:00,189.6,190.1099,185.96,186.26,28298313.0,-0.0125904524611021,0.0275421534846325,,,,,,
price,NVDA_2025-10-8,2025-10-13 15:00:00+00:00,2025-10-13 11:00:00,186.251298,188.775,186.18,188.3101,19311580.0,-0.0017223738966787,0.010946524943141,,,,,,
price,NVDA_2025-10-8,2025-10-13 16:00:00+00:00,2025-10-13 12:00:00,188.32,189.23,188.0,189.19,12598203.0,0.0029421899435417,0.0046617290616755,,,,,,
price,NVDA_2025-10-8,2025-10-13 17:00:00+00:00,2025-10-13 13:00:00,189.19,189.43,188.1709,188.555,10188843.0,-0.0004240994513212,-0.0033620595806196,,,,,,
price,NVDA_2025-10-8,2025-10-13 18:00:00+00:00,2025-10-13 14:00:00,188.55,188.5699,187.25,187.635,10803445.0,-0.0053012431415166,-0.0048911551828947,,,,,,
price,NVDA_2025-10-8,2025-10-13 19:00:00+00:00,2025-10-13 15:00:00,187.635,189.0,187.37,188.32,19174559.0,-0.0016698915895777,0.0036440571771523,,,,,,
price,NVDA_2025-10-8,2025-10-13 20:00:00+00:00,2025-10-13 16:00:00,188.32,188.72,188.2,188.34,1191028.0,-0.0015638667267473,0.0001061965699511,,,,,,
price,NVDA_2025-10-8,2025-10-14 14:00:00+00:00,2025-10-14 10:00:00,181.14,182.72,180.75,181.33,32303571.0,-0.0387255811487793,-0.0379302644159826,,,,,,
price,NVDA_2025-10-14,2025-10-14 14:00:00+00:00,2025-10-14 10:00:00,181.14,182.72,180.75,181.33,32303571.0,0.0,,,,,,,
price,NVDA_2025-10-8,2025-10-14 15:00:00+00:00,2025-10-14 11:00:00,181.34,183.165,181.19,182.63,22560359.0,-0.0318339650648076,0.0071436725380156,,,,,,
price,NVDA_2025-10-14,2025-10-14 15:00:00+00:00,2025-10-14 11:00:00,181.34,183.165,181.19,182.63,22560359.0,0.0071692494347321,0.0071436725380156,,,,,,
price,NVDA_2025-10-8,2025-10-14 16:00:00+00:00,2025-10-14 12:00:00,182.63,184.2,182.075,183.16,21935360.0,-0.0290243061998037,0.0028978395849446,,,,,,
price,NVDA_2025-10-14,2025-10-14 16:00:00+00:00,2025-10-14 12:00:00,182.63,184.2,182.075,183.16,21935360.0,0.0100920972811999,0.0028978395849446,,,,,,
price,NVDA_2025-10-8,2025-10-14 17:00:00+00:00,2025-10-14 13:00:00,183.15,183.625,181.79,181.8299,17349957.0,-0.036075489702335,-0.0072884531219949,,,,,,
price,NVDA_2025-10-14,2025-10-14 17:00:00+00:00,2025-10-14 13:00:00,183.15,183.625,181.79,181.8299,17349957.0,0.0027568521480174,-0.0072884531219949,,,,,,
price,NVDA_2025-10-14,2025-10-14 18:00:00+00:00,2025-10-14 14:00:00,181.83,182.37,181.52,182.03,14890467.0,0.0038603650802404,0.0010998739909071,,,,,,
price,NVDA_2025-10-8,2025-10-14 18:00:00+00:00,2025-10-14 14:00:00,181.83,182.37,181.52,182.03,14890467.0,-0.0350147109497176,0.0010998739909071,,,,,,
price,NVDA_2025-10-8,2025-10-14 19:00:00+00:00,2025-10-14 15:00:00,182.03,182.27,179.83,180.07,33564437.0,-0.0454051475070903,-0.0108258444763933,,,,,,
price,NVDA_2025-10-14,2025-10-14 19:00:00+00:00,2025-10-14 15:00:00,182.03,182.27,179.83,180.07,33564437.0,-0.0069486571444329,-0.0108258444763933,,,,,,
price,NVDA_2025-10-8,2025-10-14 20:00:00+00:00,2025-10-14 16:00:00,180.03,182.09,180.03,181.0698,2535225.0,-0.0401049646142021,0.0055369281053234,,,,,,
price,NVDA_2025-10-14,2025-10-14 20:00:00+00:00,2025-10-14 16:00:00,180.03,182.09,180.03,181.0698,2535225.0,-0.0014349528483981,0.0055369281053234,,,,,,
